,JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
208,0,1999-10-06,0,2,2,1,2,1,2,5,1,2,0
209,1,2008-03-20,8,92,2,1,2,5,2,4,0,2,1
210,0,1997-05-12,4,8,2,1,2,0,2,2,1,2,0
211,0,2003-11-21,1,17,0,5,1,1,2,9,0,0,1
212,1,2001-08-03,3,34,3,1,2,3,1,2,1,3,0
213,0,2005-10-07,0,22,2,1,0,3,2,1,3,2,0
214,0,2002-07-26,4,34,2,1,6,1,3,4,6,3,0
215,0,1995-10-09,4,8,2,1,2,3,2,2,1,2,0
216,0,2001-02-27,4,26,2,1,2,0,2,2,5,3,0
217,1,2003-09-20,4,8,2,1,2,3,2,2,3,2,1
218,0,2001-09-27,3,8,2,1,1,14,1,5,1,1,0
219,0,1997-08-09,0,93,2,1,4,0,2,3,1,2,0
220,0,2002-12-20,1,59,0,1,1,1,2,4,1,1,1
221,0,2003-01-28,36,94,0,1,0,1,2,2,3,2,0
222,0,2002-06-19,37,95,4,1,2,3,2,2,3,2,0
223,1,2001-10-14,38,96,2,1,1,3,3,1,0,2,1
224,1,2003-07-14,1,97,2,1,0,1,2,1,0,3,0
225,1,2014-12-31,3,8,2,1,2,3,2,2,2,3,0
226,0,1998-05-01,0,1,0,3,1,0,2,1,1,2,0
227,0,1998-12-15,4,8,2,1,2,3,2,2,3,2,0
228,1,1999-07-26,4,8,2,1,2,3,1,2,1,2,0
229,0,2005-06-17,4,98,4,1,0,2,3,1,6,4,0
230,0,2004-02-05,1,99,0,3,1,1,3,4,0,2,0
231,1,2004-07-28,1,2,0,1,2,1,2,3,6,3,0
232,0,2005-04-16,39,100,2,1,1,3,2,10,0,0,1
233,0,2005-07-22,0,101,2,1,1,1,3,2,3,3,1
234,0,2004-10-10,2,102,0,0,2,0,2,4,4,2,0
235,0,1998-10-19,4,7,0,1,8,6,2,0,8,2,0
236,0,1996-04-24,4,5,0,3,2,0,2,2,1,2,1
237,0,1997-08-08,4,7,0,3,2,2,2,2,3,2,0
238,0,2007-04-02,1,103,0,1,1,1,2,1,0,3,1
239,0,2004-02-28,1,104,2,1,2,1,3,2,0,0,0
240,0,2004-04-03,4,8,0,1,2,3,4,2,3,4,0
241,1,2005-03-12,0,10,2,1,1,1,2,4,0,3,0
242,1,2004-12-05,0,35,0,4,2,2,3,1,3,0,0
243,0,2005-01-03,0,105,0,6,1,1,2,4,0,2,1
244,0,1998-12-19,4,7,2,1,0,1,2,1,0,2,0
245,1,2004-06-26,40,106,0,1,0,15,2,1,6,2,0
246,0,1999-07-24,0,10,2,1,1,1,2,1,0,2,0
247,1,2001-10-25,0,6,4,1,2,1,2,2,0,2,0
248,1,2003-12-28,0,10,2,1,2,1,1,1,0,2,0
249,0,2005-07-15,0,2,2,1,0,1,2,4,1,1,0
250,1,1999-06-16,0,28,2,1,4,0,2,5,1,2,1
251,1,2000-08-02,4,8,2,1,2,3,1,2,3,3,0
252,1,2002-05-30,4,34,4,1,2,3,2,2,3,2,0
253,1,2000-07-28,4,7,2,1,2,3,2,2,3,2,0
254,1,1997-12-16,4,8,2,1,2,3,2,2,3,2,0
255,0,2004-06-01,1,30,0,3,1,0,3,4,5,4,1
256,0,2003-12-17,0,41,2,1,6,1,3,8,0,0,0
257,1,2008-03-12,0,16,3,1,2,5,2,2,1,2,2
258,1,2000-06-12,4,26,2,1,1,0,2,5,1,2,0
259,1,1999-11-02,4,8,2,1,2,0,2,2,1,2,0
260,0,2003-12-23,0,1,2,1,2,0,2,2,4,2,0
261,1,2005-07-28,0,2,2,1,2,3,2,2,3,2,0
262,0,1999-11-04,0,16,2,1,1,0,2,4,1,2,0
263,0,1996-06-22,0,1,0,3,2,0,2,2,3,2,0
264,0,2002-11-15,37,95,2,1,0,3,3,1,3,2,0
265,1,2004-06-01,4,61,0,1,0,3,2,1,2,3,0
266,1,2003-12-04,0,33,0,1,0,1,2,1,3,2,0
267,1,2003-07-01,3,55,2,1,1,1,3,1,0,0,0
268,0,2002-04-29,0,14,2,1,0,0,2,3,2,3,0
269,0,2003-09-11,0,10,2,1,0,0,2,1,2,3,0
270,0,2000-09-02,4,107,2,1,2,0,2,2,1,2,0
271,0,2005-02-22,1,72,0,1,1,0,3,4,4,0,0
272,0,2001-02-11,4,34,2,1,2,3,2,2,1,1,0
273,0,1999-05-26,38,107,3,1,4,1,3,5,1,1,0
274,0,2003-09-24,41,108,4,1,1,2,2,4,1,1,0
275,0,2003-09-14,0,59,2,1,6,0,3,8,1,1,0
276,1,1997-12-14,0,1,2,1,1,12,2,1,1,2,0
277,1,2001-05-25,22,109,2,1,2,13,3,2,1,3,0
278,1,2002-10-04,19,82,4,1,1,1,2,1,1,1,1
279,0,1998-03-06,4,7,2,1,0,1,2,2,6,2,0
280,1,2004-07-02,42,110,0,4,1,1,3,4,1,1,0
281,1,2005-02-22,0,111,0,3,1,1,3,4,0,2,1
282,1,2005-12-28,0,112,2,1,1,3,2,4,3,2,0
283,1,2002-12-14,43,28,2,1,1,1,3,4,5,2,0
284,1,2004-11-10,3,34,0,4,2,3,1,2,6,4,0
285,1,2004-02-25,4,113,0,4,2,10,5,2,1,1,1
286,1,2002-06-21,3,7,2,1,2,0,2,2,4,3,0
287,1,2005-06-14,17,114,0,1,2,0,3,2,0,2,0
288,1,1998-12-08,4,7,2,1,2,6,2,2,5,0,0
