,JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
287,0,2003-04-14,0,83,2,1,2,3,3,2,3,2,0
288,0,2000-05-28,2,34,2,1,2,1,1,1,1,2,0
289,0,2000-04-14,0,2,4,1,1,1,2,1,1,1,0
290,0,2002-11-05,0,67,2,1,1,12,3,4,3,3,0
291,0,1999-10-31,2,7,2,1,8,12,2,8,0,2,0
292,0,2000-11-16,0,16,4,1,2,1,2,1,2,2,0
293,0,2001-06-22,9,7,4,1,1,1,2,1,3,2,4
294,1,2005-02-10,0,115,2,1,1,1,3,1,0,0,1
295,1,1996-11-08,35,116,2,1,2,3,2,2,1,2,0
296,1,2001-08-15,0,10,4,1,0,2,2,2,2,2,0
297,1,2001-11-07,0,51,4,1,2,1,2,2,2,3,0
298,0,2004-01-04,36,117,2,1,0,1,3,4,10,2,0
299,0,2005-02-24,37,118,2,1,0,1,3,1,0,2,0
300,0,2001-10-11,8,119,4,1,3,3,2,3,5,2,1
301,0,2004-02-08,0,35,0,4,0,3,1,2,3,3,0
302,0,2002-04-05,0,54,4,1,0,1,2,1,0,2,0
303,0,1999-03-07,0,35,2,1,3,0,2,3,0,2,0
304,1,2000-09-05,0,97,3,1,4,5,2,5,6,2,0
305,1,2002-09-23,2,56,4,1,1,7,2,1,5,2,0
306,1,2002-07-17,38,7,4,1,2,3,2,2,1,1,0
307,0,2005-07-16,39,114,2,1,0,3,2,4,4,2,1
308,1,2002-06-14,40,120,4,1,0,1,2,1,0,2,0
309,0,2000-05-30,2,8,3,1,2,3,1,2,3,3,0
310,1,1999-06-27,2,7,2,1,8,12,2,1,0,2,0
311,0,2002-04-30,0,10,2,1,1,12,2,1,1,1,0
312,0,2000-05-08,0,2,2,1,2,5,2,1,1,2,3
313,1,1997-06-23,2,7,0,3,2,2,2,2,1,2,0
314,1,2003-09-10,0,33,0,1,0,1,2,4,0,2,0
315,1,1997-11-29,2,7,0,3,2,1,2,2,1,2,0
316,1,1999-02-11,2,7,2,1,2,3,2,2,1,2,1
317,1,1999-06-22,2,26,2,1,1,1,2,1,0,2,0
318,0,1998-05-30,0,10,2,1,2,1,2,2,0,2,0
319,1,1999-02-24,2,34,2,1,0,2,2,2,3,2,1
320,1,2001-07-03,2,8,2,1,2,3,3,2,3,3,0
321,1,2002-07-21,2,8,4,1,2,3,2,2,3,3,0
322,0,2001-12-30,2,7,2,1,2,0,1,2,4,3,0
323,1,2003-05-29,0,83,2,1,0,3,2,2,3,3,0
324,1,2004-11-11,0,121,2,1,2,3,2,4,11,1,0
325,0,1999-09-15,0,16,2,1,0,2,2,1,2,2,0
326,1,2001-01-05,0,5,2,1,0,2,1,1,1,2,0
327,1,2003-10-11,8,122,2,1,1,1,3,2,3,3,0
328,1,1997-07-27,2,7,0,3,0,1,2,1,0,2,0
329,1,2003-02-28,2,8,0,1,0,3,2,2,3,4,0
330,0,2003-03-03,0,28,2,1,1,1,3,1,2,2,0
331,0,2001-09-25,0,2,2,1,0,3,2,2,2,2,0
332,0,2004-03-27,0,47,0,5,2,15,2,4,5,2,0
333,0,2004-02-28,0,85,2,1,1,1,2,4,1,1,1
334,0,1997-11-09,0,5,0,3,2,2,2,2,1,2,0
335,1,2002-12-28,0,97,2,1,1,1,2,1,0,3,1
336,0,2003-03-06,2,7,2,1,2,1,3,5,1,1,0
337,0,2004-07-23,2,123,0,3,0,0,3,4,4,3,1
338,0,1999-06-10,2,8,2,1,2,3,2,2,3,4,0
339,0,2000-01-30,12,46,3,1,4,5,2,5,0,3,0
340,0,1998-02-01,0,51,2,1,1,13,2,4,1,2,0
341,1,2006-07-09,2,34,0,1,0,2,1,2,1,1,1
342,0,2005-08-06,41,124,0,3,1,1,2,4,1,1,1
343,0,2004-02-07,0,14,0,4,3,2,1,3,5,3,0
344,1,2003-04-27,0,35,2,1,1,1,3,1,0,2,0
345,0,2004-05-26,0,83,2,1,2,3,1,2,3,3,0
346,0,2003-08-13,2,8,2,1,0,7,2,2,5,2,0
347,0,2005-04-16,14,125,4,1,2,6,5,1,1,1,0
348,1,2003-08-19,2,26,2,1,0,1,2,1,0,3,0
349,0,1998-10-17,2,8,2,1,2,3,1,2,3,2,0
350,1,2003-11-19,3,53,0,1,2,3,1,2,5,3,0
351,0,2002-03-15,42,126,4,1,9,13,3,4,4,2,0
352,0,2001-09-28,0,5,4,1,0,2,2,2,1,1,0
353,0,1999-10-24,11,127,2,1,2,3,1,2,3,2,0
354,0,2003-02-08,0,5,2,1,2,2,1,1,0,2,0
355,1,2002-02-17,0,33,2,1,0,1,2,1,0,2,0
356,1,2005-02-10,0,1,2,1,0,3,2,1,3,3,0
357,0,2003-08-08,0,29,2,1,6,0,2,8,8,0,0
358,0,1997-02-14,0,1,0,3,2,2,2,2,4,2,0
359,0,1997-10-07,0,1,0,3,2,1,2,1,3,2,0
360,0,2004-04-07,1,43,0,4,5,13,3,0,5,3,0
361,0,2000-10-07,2,8,2,1,0,7,1,2,5,3,0
362,1,2003-06-08,2,7,2,1,0,2,2,1,3,2,0
363,0,1997-10-27,2,8,2,1,2,0,2,2,3,2,0
364,1,2001-05-20,2,8,3,1,4,5,2,5,6,3,0
365,1,1999-08-15,2,8,2,1,2,3,2,2,3,2,1
366,1,2005-03-24,10,128,2,1,0,3,2,1,3,2,0
367,1,2001-07-07,0,16,4,1,0,2,2,2,5,2,1
368,1,1999-03-26,2,7,2,1,4,3,2,5,1,2,1
369,1,2002-08-06,0,2,4,1,1,1,2,3,0,3,0
370,1,1998-05-04,2,7,2,1,0,3,2,1,3,2,0
371,1,2005-02-16,0,64,2,1,1,1,3,1,1,1,0
372,0,1997-08-30,0,5,0,3,0,2,2,3,0,2,0
373,0,1999-11-25,2,8,2,1,4,0,2,2,1,2,0
374,0,1997-08-06,0,129,2,1,1,1,2,4,1,2,1
375,0,2001-07-26,9,8,3,1,4,3,1,2,3,3,1
376,1,2003-01-31,2,8,0,1,2,3,2,2,3,2,0
377,1,2005-08-29,2,130,2,1,1,1,2,4,0,2,0
378,0,2001-11-07,4,11,4,1,1,1,2,4,3,2,1
379,0,2003-11-01,0,131,0,4,1,1,3,4,6,1,0
380,0,2007-05-02,43,132,0,3,1,2,4,4,2,4,1
381,0,2004-05-31,0,2,2,1,3,1,2,3,0,2,0
382,0,1997-07-27,0,1,0,1,2,5,2,3,1,2,0
383,1,1999-08-29,2,8,2,1,2,2,4,2,1,2,0
384,0,1998-01-12,18,133,2,1,2,1,1,2,1,2,0
385,1,2005-05-18,2,134,4,1,0,1,2,2,1,1,0
