JK,Tanggal Lahir,Tempat Lahir,Asal Kecamatan,Jenis Tinggal,Alat Transportasi,Jenjang Pendidikan Ayh,Pekerjaan Ayh,Penghasilan Ayh,Jenjang Pendidikan Ibu,Pekerjaan Ibu,Penghasilan Ibu,Keluar Karena
L,1997-11-17,SEMARANG,Ungaran Barat,Bersama orang tua,Sepeda motor,SMA / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
L,2004-11-22,KENDAL,Campurejo,Bersama orang tua,Jalan kaki,SMP / sederajat,Karyawan Swasta,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Wiraswasta,"Kurang dari Rp. 500,000",Lulus
P,2001-11-14,KENDAL,Boja,Rumah Tinggal,Jalan kaki,SD / sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",SD / sederajat,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Mutasi
P,1998-04-26,KENDAL,Boja,Asrama,Jalan kaki,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2002-03-13,Semarang,Mijen,Asrama,Jalan kaki,Tidak sekolah,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Tidak sekolah,Tidak bekerja,Tidak Berpenghasilan,Lulus
L,2002-11-13,Kendal,Boja,Asrama,Jalan kaki,SMP / sederajat,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Lulus
P,1997-11-04,SEMARANG,Boja,Bersama orang tua,Sepeda motor,SD / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SD / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2003-11-30,Semarang,Ungaran Barat,Bersama orang tua,Jalan kaki,SMA / sederajat,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",SMA / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,1999-05-12,KENDAL,Singorojo,Asrama,Jalan kaki,SMP / sederajat,Buruh,"Rp. 500,000 - Rp. 999,999",SMP / sederajat,Tidak bekerja,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
P,2004-05-13,KENDAL,Singorojo,Asrama,Jalan kaki,SMP / sederajat,Petani,"Rp. 1,000,000 - Rp. 1,999,999",SMP / sederajat,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Lulus
